Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,Link Relatório
2,sáb,2024-03-02,19:30,Seattle,1.2,0–0,0.0,Austin,30.067,Lumen Field,,Relatório da Partida,,/pt/partidas/d38f35bb/Seattle-Sounders-FC-Austin-FC-2024Marco2-Major-League-Soccer
2,sáb,2024-03-02,19:30,Rapids,0.6,1–1,1.5,Nashville,16.223,Dick's Sporting Goods Park,,Relatório da Partida,,/pt/partidas/e3a4e251/Colorado-Rapids-Nashville-SC-2024Marco2-Major-League-Soccer
2,sáb,2024-03-02,19:30,Portland Timbers,0.8,2–2,2.0,D.C. United,20.221,Providence Park,,Relatório da Partida,,/pt/partidas/e6fc6e27/Portland-Timbers-DC-United-2024Marco2-Major-League-Soccer
3,sáb,2024-03-09,14:00,Toronto FC,0.5,1–0,0.9,Charlotte,26.345,BMO Field,,Relatório da Partida,,/pt/partidas/1626c4bb/Toronto-FC-Charlotte-FC-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,14:00,NYCFC,1.3,1–2,0.9,Portland Timbers,24.774,Yankee Stadium,,Relatório da Partida,,/pt/partidas/c0278729/New-York-City-FC-Portland-Timbers-2024Marco9-Major-League-Soccer
3,dom,2024-03-10,14:00,Nashville,1.3,2–2,1.9,LA Galaxy,28.316,Geodis Park,,Relatório da Partida,,/pt/partidas/edbb98e8/Nashville-SC-LA-Galaxy-2024Marco10-Major-League-Soccer
3,dom,2024-03-10,15:00,FC Cincinnati,1.7,0–0,0.5,D.C. United,25.513,TQL Stadium,,Relatório da Partida,,/pt/partidas/d210c37a/FC-Cincinnati-DC-United-2024Marco10-Major-League-Soccer
3,dom,2024-03-10,17:00,Inter Miami,2.7,2–3,2.0,CF Montréal,21.212,Chase Stadium,,Relatório da Partida,,/pt/partidas/b1553752/Inter-Miami-CF-Montreal-2024Marco10-Major-League-Soccer
3,sáb,2024-03-09,19:30,Atlanta Utd,3.2,4–1,0.7,NE Revolution,67.727,Mercedes-Benz Stadium,,Relatório da Partida,,/pt/partidas/22efe495/Atlanta-United-New-England-Revolution-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,NY Red Bulls,2.0,2–1,0.7,FC Dallas,19.284,Red Bull Arena,,Relatório da Partida,,/pt/partidas/290d6c0d/New-York-Red-Bulls-FC-Dallas-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,Orlando City,4.1,2–3,1.4,Minnesota Utd,23.025,Inter&Co Stadium,,Relatório da Partida,,/pt/partidas/3b4354d9/Orlando-City-Minnesota-United-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,Crew,1.3,2–1,1.9,Fire,20.327,Lower.com Field,,Relatório da Partida,,/pt/partidas/4274e2ff/Columbus-Crew-Chicago-Fire-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,SJ Earthquakes,0.6,0–2,0.7,Vancouver W'caps,16.045,PayPal Park,,Relatório da Partida,,/pt/partidas/560f62ab/San-Jose-Earthquakes-Vancouver-Whitecaps-FC-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,Austin,1.0,2–2,2.0,St. Louis,20.738,Q2 Stadium,,Relatório da Partida,,/pt/partidas/c9af7eff/Austin-FC-St-Louis-City-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,RSL,1.4,1–2,1.6,Rapids,20.147,America First Field,,Relatório da Partida,,/pt/partidas/cd6b54bb/Real-Salt-Lake-Colorado-Rapids-2024Marco9-Major-League-Soccer
3,sáb,2024-03-09,19:30,LAFC,1.5,0–0,0.6,Sporting KC,22.175,BMO Stadium,,Relatório da Partida,,/pt/partidas/f0a93403/Los-Angeles-FC-Sporting-Kansas-City-2024Marco9-Major-League-Soccer
4,sáb,2024-03-16,12:30,Seattle,1.1,1–1,2.3,Rapids,30.036,Lumen Field,,Relatório da Partida,,/pt/partidas/9cdfdcac/Seattle-Sounders-FC-Colorado-Rapids-2024Marco16-Major-League-Soccer
